county,county_fp,polling_location,address,city,state,zip_code,polling_hours,county_auditor_phone
Adams,1,Adams County Courthouse,602 Adams Ave Ste 201,Hettinger,ND,58639,,(701) 567-4363 Ext.
Adams,1,Adams County Courthouse (Drop Box),602 Adams Ave.,Hettinger,No,58639,"Available 24 hours per day all ballots must returned In this box by 7:00 pm November 9th, 2026",(701) 567-4363 Ext.
Barnes,3,Barnes County Courthouse (Dropbox),230 4th St NW,Valley City,ND,58072,Secure ballot drop box located on north side of Courthouse entry available 24/7. All ballots must be returned by 5 pm on Monday November 4th.,(701) 845-8500 Ext. 6666
Benson,5,Benson County Courthouse (Dropbox),311 B Ave S,Minnewaukan,ND,58351,"Available 24 hrs per day - ballots must be returned by 7:00 p.m. on June 9, 2026",(701) 473-5340 Ext.
Benson,5,Ft. Totten Blue Building (Dropbox),816 3rd Ave N,Ft. Totten,ND,58335,"Available 24 hrs per day - ballots must be returned 7:00 p.m. on June 9, 2026",(701) 473-5340 Ext.
Benson,5,St. Michael Fitness Center (Dropbox),130 1st Ave,St. Michael,ND,58370,"Available 24 hrs per day - ballots must be returned by 7:00 p.m. on June 9, 2026",(701) 473-5340 Ext.
Benson,5,Tokio Food Pantry (Dropbox),323  3rd Ave,Tokio,ND,58379,"Available 24 hrs per day - ballots must be returned by 7:00 p.m. on June 9, 2026",(701) 473-5340 Ext.
Billings,7,Billings County Courthouse (Drop Box),495 4th Street,Medora,ND,58645,"Ballots must be within sealed signed envelope and dropped off by 7pm on Election Day (June 9, 2026)",(701) 623-4377 Ext.
Billings,7,Fairfield Fire Hall (Drop Box),12823 20TH Street SW,Fairfield,ND,58627,"Ballots must be within sealed signed envelope and dropped off by 7pm on Election Day (June 9, 2026)",(701) 623-4377 Ext.
Bottineau,9,Bottineau Auditor's Office (Drop Box),314 W 5th Street,Bottineau,ND,58318,"Drop box is located at the front of the Courthouse, open 24/7 until June 9th. On June 9th, the drop box will be locked at 7:00 pm and no more ballots will be accepted.",(701) 228-2225 Ext.
Bowman,11,Bowman County Courthouse,104 1st Street NW,Bowman,ND,58623,"Drop Box Located inside Door B, Hours are M-Th 7:30 AM - 4:30 PM, Fridays 7:30 am - noon. Absentee ballots must be returned  by 7 pm on June 9, 2026.",(701) 523-3130 Ext.
Burke,13,Burke County Courthouse,103 Main Street SE,Bowbells,ND,58721,"Available 24 hours a day; ballots must be returned to drop box by 7pm Tuesday June 9, 2026",(701) 377-2861 Ext.
Burleigh,15,City/County Building (Dropbox),221 N 5th St,Bismarck,ND,58501,"Ballots must be placed in the secure dropbox by 7:00pm on Tuesday, June 9th, 2026.",(701) 222-6718 Ext.
Cass,17,Cass County Courthouse (Drop Box),211 9th St S,Fargo,ND,58103,,(701) 241-5602 Ext.
Cavalier,19,Cavalier County Courthouse (Drop Box),901 3RD ST,LANGDON,ND,58249,"Drop Box available 24 hours outside Door 1.  Absentee Ballots must be returned by Tuesday, June 9th, 2026 at 7:00 PM",(701) 256-2229 Ext.
Dickey,21,Dickey County Courthouse (Drop Box),309 N 2nd Street,Ellendale,ND,58436,"Drop box is at the north entrance of the Courthouse, open Monday through Friday 8:00 am to 4:30 pm, and until 7:00 pm June 9th. Door is open on workdays from 8:00-4:30 and on June 9th, the door is open 8:00 am to 7:00 pm",(701) 349-8303 Ext.
Dickey,21,Oakes Community Center (Drop Box),124 5th St. S,Oakes,ND,58474,"Drop box is at the City office, open Monday through Friday 8:30 am to 4:30 pm and until 7:00 pm on June 9th. Door is open on workdays from 8:00-4:30 and on June 9th, the door is open 8:00 am to 7:00 pm",(701) 349-8303 Ext.
Divide,23,Divide County Auditor Office,200 N Main ST,Crosby,ND,58730,"Use West Door, available 24/7 ballots must be returned by 7 pm June 9 2026",(701) 965-6351 Ext.
Eddy,27,Eddy County Courthouse (Drop Box),524 Central Avenue,New Rockford,ND,58356,"In alley of Courthouse by back door. Available 24 hours. Ballot must be placed in drop box by 7:00 PM on Tuesday, June 9, 2026",(701) 947-2434 Ext. 2020
Emmons,29,Emmons County (Dropbox),100 4th St. NW,Linton,ND,58552,"available 24 hours a day; ballots must be returned by 7 pm on June 9, 2026.",(701) 254-4807 Ext.
Foster,31,Foster County Courthouse (Drop Box),1000 5th St N,Carrington,ND,58421,"Ballot drop box is located outside of the East entrance of the Courthouse. Open 24 hours. Due by 7:00 PM June 9th, 2026",(701) 652-2441 Ext.
Golden Valley,33,Golden Valley County Courthouse (Drop Box),150 1st Ave SE,Beach,ND,58621,"Ballot drop box is located outside of the South entrance of the Courthouse.  Open 24 hours.  Ballots are due by 7 pm Tuesday, June 9th, 2026",(701) 872-4331 Ext.
Grand Forks,35,GF County Office Bldg Parking Ramp (Drop Box),151 South 4th Street,Grand Forks,ND,58201,"East side of County Office Bldg in the parking ramp.  Ballots returned to Drop Box must be returned by 7:00 pm Tuesday, June 9th.",(701) 780-8200 Ext.
Grant,37,Grant County Courthouse (Drop Box),106 2nd Ave NE,Carson,ND,58529,"Drop Box is available 24 hours a day until June 9, 2026 by 7:00 p.m. MT",(701) 622-3275 Ext.
Griggs,39,Griggs County Courthouse (Drop Box),805 Odegard Ave SW,Cooperstown,No,58425,Drop box will be available M-F 8-4:30. Absentee ballots can we accepted until 7pm on June 9th.,(701) 797-3117 Ext.
Hettinger,41,Hettinger County Court House (Drop Box),336 Pacific Avenue,Mott,ND,58646,"By the Handicap access at the North Door - Open 24 hours a day until 5:00 p.m. MT on Monday, November 4, 2024",(701) 824-2515 Ext.
Hettinger,41,New England City Hall (Drop Box),9 7th St E,New England,ND,58647,"Open 24 hours a day until 5:00 p.m. MT on Monday November 4, 2024",(701) 824-2515 Ext.
Hettinger,41,Regent City Hall (Drop Box),203 Main Avenue,Regent,ND,58650,"Open 24 hours a day until 5:00 p.m. MT on Monday November 4, 2024",(701) 824-2515 Ext.
Kidder,43,Kidder County Courthouse (Drop Box),126 E Broadway,Steele,ND,58482,,(701) 475-4547 Ext.
LaMoure,45,LaMoure County Courthouse (Drop Box),202 4th Ave NE,LaMoure,ND,58458,"Northeast corner of courthouse open 24/7 until 7:00 p.m. June 9, 2026",(701) 883-6040 Ext.
Logan,47,Logan County Courthouse (Drop Box),301 Broadway,Napoleon,ND,58561,"Available 24 hours a day. Ballots need to be placed in the drop box by 7:00 pm on Tuesday, June 9, 2026.",(701) 754-2425 Ext.
McHenry,49,McHenry County Courthouse (Drop Box),407 Main St S,Towner,ND,58788,"Ballots must be placed in the secure dropbox by 7:00 PM on June 9, 2026.",(701) 537-5724 Ext.
McIntosh,51,McIntosh County Courthouse (Drop Box),112 1st St NE,Ashley,ND,58413,"Will be available until June 9th, 2026 at 7:00 p.m. at which time it will be locked.",(701) 288-5141 Ext.
McKenzie,53,McKenzie County Courthouse (Drop Box),201 5th St NW,Watford City,ND,58854,"Available 24/7 through 7pm on June 9, 2026 - Located near Door #8",(701) 444-3616 Ext. 3
McLean,55,McLean County Courthouse (Drop Box),712 5th Ave,Washburn,ND,58577,"Available 24 hours a day/7 days a week. Closes at 7:00 p.m. on Tuesday, June 9, 2026.",(701) 462-8541 Ext. 825
Morton,59,Morton County Courthouse (Drop Box),210 2nd Ave NW,Mandan,ND,58554,Available 24/7 in front of courthouse.  Ballots must be dropped off 7:00 PM Tuesday June 9th 2026,(701) 667-3300 Ext.
Nelson,63,Nelson County Courthouse,210 B Ave W,Lakota,ND,58344,"The drop box is located on the east side of the Courthouse attached to the building. All ballots need to be returned by 7:00 pm Tuesday, June 9th 2026",(701) 247-2463 Ext.
Oliver,65,Oliver County Courthouse (Drop Box),115 West Main,Center,ND,58530,"Drop Box Available 24 hours a day. Ballots must be placed in the dropbox by 7:00 pm on Tuesday, June 9, 2026.",(701) 794-8721 Ext.
Pembina,67,Pembina County Courthouse (Dropbox),301 Dakota St W,Cavalier,ND,58220,"Dropbox is located in the rear parking lot of the Courthouse. Ballots must be returned to the drop box no later than 5:00 PM June 9, 2026",(701) 265-4231 Ext.
Pierce,69,Pierce County Courthouse (Drop box),240 2nd St SE,Rugby,ND,58368,"Available 24 hours a day. All ballots delivered to drop box by 7pm on June 9, 2026",(701) 776-5225 Ext. 2000
Ransom,73,Ransom County Courthouse,204 5th Ave West,Lisbon,ND,58054,"Ballots must be placed in the secure drop box by Tuesday June 9, 2026 by 7pm",(701) 683-6113 Ext.
Renville,75,Renville County Courthouse (Drop Box),205 Main St E,Mohall,ND,58761,"Available 24/7.  Must be dropped off by Tuesday, June 9th at 7pm.",(701) 756-6301 Ext.
Richland,77,Richland County Courthouse (Drop Box),418 2nd Ave N,Wahpeton,ND,58075,Northwest corner of Courthouse - Open 24 hours a day starting 04-30-2026 until 7 pm on 06-09-2026,(701) 642-7700 Ext.
Sargent,81,Sargent County Courthouse (Drop Box),"355 Main St S, Suite 1",Forman,ND,58032,Drop Box at SW elevator entrance or the Auditor's Office - ballots to be dropped off no later than close of polls on Election Day - 7:00 p.m.,(701) 724-6241 Ext. 101
Sheridan,83,McClusky City Hall (Drop Box),117 B Ave East,McClusky,ND,58463,available 24 hours a day; ballots must be returned to drop box by 7 pm June 9th.,(701) 363-2205 Ext.
Sioux,85,Sioux County Courthouse,303 2nd Ave,Fort Yates,ND,58538,Ballots must be placed in the drop box by 7pm on Election Day,(701) 854-3481 Ext.
Slope,87,Slope County Courthouse (Drop Box),206 Main St,Amidon,ND,58620,"Drop Box in West Parking Lot. Available 24 hours a day. Ballots need to be returned to drop box no later than 4:30 p.m. June 9, 2026",(701) 879-6276 Ext.
Stark,89,Stark County Courthouse (Drop Box),51 3rd St E,Dickinson,ND,58601,(Open 24 Hours) Absentee Ballots accepted between 4/30/2026 and 6/9/2026 by 7:00 PM.,(701) 456-7630 Ext.
Steele,91,Steele County Courthouse (Drop Box),201 Washington Ave W,Finley,ND,58230,Drop box located at back door of the Courthouse- available 24/7 until 7:00pm June 9th 2026,(701) 524-2110 Ext.
Towner,95,Towner Courthouse (Dropbox),315 2nd Street,Cando,ND,58324,"Front Door Entry Way; Ballots must be placed in the secure dropbox by close of polls, being 7:00 p.m. on Tuesday, June 9, 2026.",(701) 968-4340 Ext. 1
Traill,97,Traill County Courthouse (Drop Box),114 West Caledonia,Hillsboro,ND,58045,"Ballots may be dropped off at the Courthouse by using our secure drop box located inside the South door #2 or brining them into the Auditor's office.  All ballots must be dropped off Tuesday June 9th, 2026 by 7:00 p.m. when polls close.",(701) 636-4458 Ext.
Walsh,99,Walsh County Courthouse (Drop Box),600 Cooper Ave,Grafton,ND,58237,Located by the south door. Available 24 hours a day. Ballots need to be returned to drop box by close of polls on election day.,(701) 352-2851 Ext.
Ward,101,Ward County Administration Building (Drop Box),225 3rd St SE,Minot,ND,58701,"Will be available 24 hours a day starting Thursday April 30, 2026 thru June 9, 2026 at 7:00pm.  Located in front of building and 2nd floor of Auditor/Treasurer's Office.",(701) 857-6420 Ext.
Williams,105,Grenora City Hall (Drop Box),204 Main St,Grenora,ND,58845,"This secure Absentee Ballot Drop Box will be open 24 hours a day until 7:00 PM June 9, 2026",(701) 577-4500 Ext.
Williams,105,Ray City Hall  (Drop Box),101 Main St,Ray,ND,58849,"This secure Absentee Ballot Drop Box will be open 24 hours a day until 7:00 PM June 9, 2026",(701) 577-4500 Ext.
Williams,105,Tioga City Hall  (Drop Box),16 1st St NE,Tioga,ND,58852,"This secure Absentee Ballot Drop Box will be open 24 hours a day until 7:00 PM June 9, 2026",(701) 577-4500 Ext.
Williams,105,Trenton Indian Service Area (Drop box),331 4th Ave E,Trenton,ND,58853,"This secure Absentee Ballot Drop Box will be open 24 hours a day until 7:00 PM June 9, 2026",(701) 577-4500 Ext.
Williams,105,Williams Co Admin Bldg (Drop box),206 E Broadway,Williston,ND,58801,"This secure Absentee Ballot Drop Box will be open 24 hours a day until 7:00 PM June 9, 2026",(701) 577-4500 Ext.
