polling_location,address,city,county,zip_code,polling_hours,county_auditor_phone
Adams County Courthouse,602 Adams Ave Ste 201,Hettinger,Adams,58639,9:00AM-7:00PM,(701) 567-4363 Ext.
Barnes County Courthouse,230 4th St NW,Valley City,Barnes,58072,7:00AM-7:00PM,(701) 845-8500 Ext. 6666
Benson County Courthouse,311 B Ave S,Minnewaukan,Benson,58351,7:00AM-7:00PM,(701) 473-5340 Ext.
Ft. Totten Community Center,816 3rd Ave. N,Fort Totten,Benson,58335,7:00AM-7:00PM,(701) 473-5340 Ext.
Warwick Public School,210 4th Ave,Warwick,Benson,58381,7:00AM-7:00PM,(701) 473-5340 Ext.
Billings County Courthouse (Vote Center),495 4th Street,Medora,Billings,58645,9:00AM-7:00PM,(701) 623-4377 Ext.
Fairfield Fire Hall (Vote Center),12823 20TH Street SW,Fairfield,Billings,58627,9:00AM-7:00PM,(701) 623-4377 Ext.
Bottineau County Courthouse,314 5th St W.,Bottineau,Bottineau,58318,8:00AM-7:00PM,(701) 228-2225 Ext.
Lansford Community Center,713 Main St,Lansford,Bottineau,58750,8:00AM-7:00PM,(701) 228-2225 Ext.
Westhope City Hall,95 1st Ave W,Westhope,Bottineau,58793,8:00AM-7:00PM,(701) 228-2225 Ext.
Bowman City Hall,104 1st St NE,Bowman,Bowman,58623,7:00AM-7:00PM,(701) 523-3130 Ext.
Bowman Four Seasons Bld,12 Hwy 12 East,Bowman,Bowman,58623,7:00AM-7:00PM,(701) 523-3130 Ext.
Rhame Legion Building,53 Main Street,Rhame,Bowman,58651,7:00AM-7:00PM,(701) 523-3130 Ext.
Scranton Community Center,104 Main St,Scranton,Bowman,58653,7:00AM-7:00PM,(701) 523-3130 Ext.
Burke County Courthouse,103 Main Street SE,Bowbells,Burke,58721,9:00AM-7:00PM,(701) 377-2861 Ext.
Bismarck Event Center-Main Arena,315 South 5th Street,Bismarck,Burleigh,58504,7:00AM-7:00PM,(701) 222-6718 Ext.
Liberty Elementary School,5400 Onyx Dr,Bismarck,Burleigh,58503,7:00AM-7:00PM,(701) 222-6718 Ext.
Sunrise Elementary School,3800 Nickerson Ave,Bismarck,Burleigh,58503,7:00AM-7:00PM,(701) 222-6718 Ext.
East Auditorium (fka: The Element),3220 N 19th Street,Bismarck,Burleigh,58503,7:00AM-7:00PM,(701) 222-6718 Ext.
Wilton County Shop,30300 93rd St NE,Wilton,Burleigh,58579,7:00AM-7:00PM,(701) 222-6718 Ext.
4H Building,3715 E Bismarck Expressway,Bismarck,Burleigh,58501,7:00AM-7:00PM,(701) 222-6718 Ext.
Lincoln Elementary School,3320 McCurry Way,Lincoln,Burleigh,58504,7:00AM-7:00PM,(701) 222-6718 Ext.
Menoken School,412 Bismarck St N,Menoken,Burleigh,58558,7:00AM-7:00PM,(701) 222-6718 Ext.
Wing Fire Hall,4 Second Ave W,Wing,Burleigh,58494,7:00AM-7:00PM,(701) 222-6718 Ext.
Sterling School,118 McKenzie St,Sterling,Burleigh,58572,7:00AM-7:00PM,(701) 222-6718 Ext.
United Tribes Technical College-Skills Center,3315 University Dr,Bismarck,Burleigh,58504,7:00AM-7:00PM,(701) 222-6718 Ext.
Lord of Life Lutheran Church,1143 N 26th St,Bismarck,Burleigh,58501,7:00AM-7:00PM,(701) 222-6718 Ext.
